sheet	row	values
Ficha Padrão	2	|FICHA DE MANUTENÇÃO DE ESTAMPOS ||||||||||||||||||
Ficha Padrão	4	|=Y4&E16||||||||||||||||||
Ficha Padrão	5	|Documento:||FM-FE-001|Área:|FE - FERRAMENTARIA|||Rev. Formulário||0|||||||||
Ficha Padrão	6	||||||||Data:||2022-05-05 00:00:00|||||||||
Ficha Padrão	8	|Nº da Ficha:||=AF12&AC12&AH12&H14||||||||||||Calcula Nº da Ficha||||
Ficha Padrão	10	|Data do Cadastro:||=TODAY()||||||||||||Caso emitir 2 Fichas no mesmo dia||||
Ficha Padrão	12	|AME Resp. Pela abertura da ficha:||||Gustavo Nascimento||||||||||0|Digitar próximo Nº|||
Ficha Padrão	14	|Código da Ferramenta:|||F2860829-0011|||=RIGHT(E14,4)||||||||||OBS: Planilha REPORTE fazer Backup semanal||
Ficha Padrão	16	|Descrição da Ferramenta:|||=IF(D63=AU21,AF14,IF(D63=AV21,AF14,VLOOKUP(H14,Dados!D:E,2,0)))|||||||||||||||
Ficha Padrão	18	|Nº do Desenho:|||=VLOOKUP(E14,REPORTE!B:C,2,0)|||||||||||Alertas:||||
Ficha Padrão	21	|Últimos serviços / checagens executadas||||||||||||||Vida da Ferramenta||||
Ficha Padrão	23	|Descrição dos Trabalhos:||||||||||||||Ultima anotação Ferramenteiro||||
Ficha Padrão	25	|||||||||||||||Ultima Anotação Produção||||
Ficha Padrão	27	|||||||||||||||Nº de Golpes por Afiação||||
Ficha Padrão	28	|Qtde de Afiações:||||||||||||||||||
Ficha Padrão	30	|Altura da vida útil Atual "mm":||||||||||||||Frequencia de Uso||||
Ficha Padrão	32	|Ferramenteiro Responsável:||||||||||||||||||
Ficha Padrão	34	|Data Prevista de Termino Do Serviço:|||||Data Executada:|||_____/____/____||||||||||
Ficha Padrão	36	|Hora de Início:|||||Hora Término:|||||||||||||
Ficha Padrão	38	|Dados sobre o término da produção ||||||||||||||||||
Ficha Padrão	40	|Data:|/           /|||Nº NOTA QM:||||||||||||||
REPORTE	1	JOB|Nº Ferramental|Nº do Desenho da Ferramenta:|Sufixo|Prensa|Ferramenteiro - Quantidade de Afiações nesta JOB|Vida Util Atual mm|Automático Total de Golpes Acumulados Reg. Prod.|Automático. Nº de Golpes por Afiação|Data Termino da  Avaliação - Entrega KIT|Ferramenteiro ----- Observações do Ultimo Serviço|Produção Observações / Solicitações de Melhorias:
